"","vecka","brand","format","totalvolume","totalvalue","LL","avgpricebefore","avgfinalprice","avgdiscount","totalnonpricecampaign","totalpricecampaign","nonpricecampaign","pricecampaign","depth","nondepth","avgcompLL","avgcomppricebefore","avgcompfinalprice","avgcompdiscount","totalvolume1","totalvalue1","LL1","avgfinalprice1","avgpricebefore1","avgdiscount1","nondepth1","avgcompLL1","avgcompfinalprice1","avgcomppricebefore1","avgcompdiscount1","dlogtotalvolume","dlogavgfinalprice","dlogavgpricebefore","dlognondepth","dlogLL","dlogavgcompLL","dlogavgcompfinalprice","cop_finalprice","cop_avgcompfinalprice","cop_logfinalprice","cop_logavgcompfinalprice","hgap","cgap","holiday","trend","campaign"
"289",201546,"Ramlösa",3,65,726.42,19,12.4076923076923,11.1756923076923,1.232,19,247,1,1,0.0992932424054557,0.900706757594544,23.4081969246937,15.2336625466352,15.0025712775179,0.231091269117279,36,411.9,13,11.4416666666667,11.4555555555556,0.0138888888888889,0.998787584869059,25.5609528419306,14.0611194196943,14.2467152010853,0.185595781390969,0.590868331439527,-0.0235205729338581,0.0798418139829313,-0.0980808272745148,0.379489621704904,-0.0879796504988426,0.0648081043672497,-0.52313948044369,0.0935852883805211,-0.52313948044369,0.0935852883805211,-0.0235205729338581,-0.255081538959949,0,98,1
"293",201547,"Ramlösa",3,40,553.71,16,13.95,13.84275,0.10725,0,32,0,1,0.00768817204301075,0.992311827956989,26.5770903161518,18.5583633550977,18.2033370065091,0.355026348588547,65,726.42,19,11.1756923076923,12.4076923076923,1.232,0.900706757594544,23.4081969246937,15.0025712775179,15.2336625466352,0.231091269117279,-0.485507815781701,0.214020539821306,0.117162880597748,0.0916050703624449,-0.171850256926659,0.126963321423207,0.19338332436889,0.278404644779795,0.967421566101701,0.278404644779795,0.967421566101701,0.214020539821306,-0.239548770917655,0,99,1
"296",201548,"Ramlösa",3,30,356.34,16,12.0666666666667,11.878,0.188666666666667,0,48,0,1,0.0156353591160221,0.984364640883978,21.1279622217743,22.0144326980884,21.7847696264895,0.229663071598932,40,553.71,16,13.84275,13.95,0.10725,0.992311827956989,26.5770903161518,18.2033370065091,18.5583633550977,0.355026348588547,-0.287682072451781,-0.153073680279705,-0.145032678103759,-0.00794718707301134,0,-0.229452191445866,0.17960615536316,-0.26130196788494,1.97519860622955,-0.26130196788494,1.97519860622955,-0.153073680279705,-0.45475668535155,0,100,1
"298",201549,"Ramlösa",3,22,277.07,10,12.7181818181818,12.5940909090909,0.124090909090909,0,30,0,1,0.00975696926375983,0.99024303073624,19.8651570664905,14.8947652845349,14.7632659577485,0.131499326786394,30,356.34,16,11.878,12.0666666666667,0.188666666666667,0.984364640883978,21.1279622217743,21.7847696264895,22.0144326980884,0.229663071598932,-0.310154928303839,0.0585397788913991,0.052585778709449,0.0058783898522623,-0.470003629245735,-0.061630090998765,-0.389069019099266,-0.0109942051395756,0.00549701951431679,-0.0109942051395756,0.00549701951431679,0.0585397788913991,-0.146930567725709,0,101,1
"301",201550,"Ramlösa",3,80,812.32,14,11.725,10.154,1.571,0,182,0,1,0.133987206823028,0.866012793176972,17.6526797062562,16.7128146849171,16.4427517135256,0.270062971391573,22,277.07,10,12.5940909090909,12.7181818181818,0.124090909090909,0.99024303073624,19.8651570664905,14.7632659577485,14.8947652845349,0.131499326786394,1.29098418131557,-0.215360011959865,-0.0813092945407217,-0.124230237559268,0.336472236621213,-0.118079699357854,0.107742689244211,-0.797021411019349,0.418695620883645,-0.797021411019349,0.418695620883645,-0.215360011959865,-0.382463460076,0,102,1
"304",201551,"Ramlösa",3,45,529.49,13,12.0555555555556,11.7664444444444,0.289111111111111,0,117,0,1,0.0239815668202765,0.976018433179723,20.0217045541364,18.9527068879434,18.1828001641013,0.769906723842098,80,812.32,14,10.154,11.725,1.571,0.866012793176972,17.6526797062562,16.4427517135256,16.7128146849171,0.270062971391573,-0.575364144903562,0.147384072826336,0.0278022813119514,0.110005640002751,-0.0741079721537217,0.125929316254742,0.100591346526878,-0.301336520859576,0.958681346744727,-0.301336520859576,0.958681346744727,0.147384072826336,-0.352880505848863,0,103,1
"307",201552,"Ramlösa",3,45,621.33,17,13.9888888888889,13.8073333333333,0.181555555555556,0,85,0,1,0.0129785544082605,0.987021445591739,25.1220847534956,17.8590838499593,17.4296641147581,0.429419735201238,45,529.49,13,11.7664444444444,12.0555555555556,0.289111111111111,0.976018433179723,20.0217045541364,18.1828001641013,18.9527068879434,0.769906723842098,0,0.159948062634311,0.148737768069787,0.011003012412016,0.268263986594679,0.226930417108749,-0.0423025124950471,0.26130196788494,0.737980472204168,0.26130196788494,0.737980472204168,0.159948062634311,-0.2078256217432,1,104,1
"312",201553,"Ramlösa",3,61,773.23,17,12.8344262295082,12.6759016393443,0.158524590163934,0,153,0,1,0.0123515136032699,0.98764848639673,23.0271496867538,18.2589350426467,17.8830148810115,0.375920161635263,45,621.33,17,13.8073333333333,13.9888888888889,0.181555555555556,0.987021445591739,25.1220847534956,17.4296641147581,17.8590838499593,0.429419735201238,0.304211374402992,-0.0854971697846096,-0.086132253973525,0.000627040804990653,0,-0.0870733889925788,0.0256777842155111,0.0274884205285162,0.883080123650455,0.0274884205285162,0.883080123650455,-0.0854971697846096,-0.291176475349031,1,105,1
"314",201601,"Ramlösa",3,33,382.8,15,11.7484848484849,11.6,0.148484848484848,0,75,0,1,0.0126386381222595,0.98736136187774,22.816684304974,17.6383475973558,17.402629549533,0.235718047822819,61,773.23,17,12.6759016393443,12.8344262295082,0.158524590163934,0.98764848639673,23.0271496867538,17.8830148810115,18.2589350426467,0.375920161635263,-0.614366302706831,-0.088697584088921,-0.0884068265301536,-0.000287124518989601,-0.125163142954006,-0.00918190483214687,-0.0272300546984181,-0.382953306125502,0.716497500177991,-0.382953306125502,0.716497500177991,-0.088697584088921,-0.333434067134337,1,106,1
"317",201602,"Ramlösa",3,41,515.5,17,12.7048780487805,12.5731707317073,0.131707317073171,0,85,0,1,0.0103666730658476,0.989633326934152,23.3792383933229,13.8440463315878,13.5094043181098,0.334642013478038,33,382.8,15,11.6,11.7484848484849,0.148484848484848,0.98736136187774,22.816684304974,17.402629549533,17.6383475973558,0.235718047822819,0.217064505237828,0.0805601386403882,0.0782617348364347,0.00227196505641192,0.125163142954006,0.0243563442665224,-0.253235259262594,-0.0274884205285162,-0.35353924775488,-0.0274884205285162,-0.35353924775488,0.0805601386403882,-0.0693023588869444,0,107,1
